"name_comuna","cod_com","sovi","vulnerablidad"
"Puyehue",10304,5.74396762575062,"Medio-alta"
"Rio Negro",10305,6.87896893672672,"Medio-alta"
"San Juan de la Costa",10306,23.6204344707231,"Alta"
"San Pablo",10307,11.353054202195,"Alta"
"Chaiten",10401,-1.94294719548953,"Medio-baja"
"Futaleufu",10402,-3.08071016858266,"Medio-baja"
"Hualaihue",10403,6.91732263940097,"Medio-alta"
"Palena",10404,-1.74717656357084,"Medio-baja"
"Coihaique",11101,-7.89302209943691,"Medio-baja"
"Lago Verde",11102,-2.44457923808181,"Medio-baja"
"Aisen",11201,-2.4469904846558,"Medio-baja"
"Cisnes",11202,-6.48405284869089,"Medio-baja"
"Guaitecas",11203,-5.50815055476146,"Medio-baja"
"Cochrane",11301,-8.50913120441046,"Medio-baja"
"OHiggins",11302,-12.6914062428004,"Medio-baja"
"Tortel",11303,-4.29024867096865,"Medio-baja"
"Chile Chico",11401,-6.01487058745398,"Medio-baja"
"Rio Ibanez",11402,1.29726441575918,"Medio-alta"
"Punta Arenas",12101,-14.3152423602176,"Medio-baja"
"Laguna Blanca",12102,0,"Medio-baja"
"Rio Verde",12103,0,"Medio-baja"
"San Gregorio",12104,-29.7969997025314,"Baja"
"Cabo de Hornos",12201,-14.3258890302618,"Medio-baja"
"Porvenir",12301,-14.6270654056029,"Baja"
"Primavera",12302,-24.1370809120008,"Baja"
"Timaukel",12303,-41.2775442140693,"Baja"
"Natales",12401,-7.71420318818964,"Medio-baja"
"Torres del Paine",12402,-32.5361455153069,"Baja"
"Santiago",13101,-16.7287100878203,"Baja"
"Cerrillos",13102,-6.24838266919418,"Medio-baja"
"Cerro Navia",13103,2.10386823947536,"Medio-alta"
"Conchali",13104,-1.47733261160018,"Medio-baja"
"El Bosque",13105,-2.22104876851083,"Medio-baja"
"Estacion Central",13106,-2.71299258456367,"Medio-baja"
"Huechuraba",13107,-6.95262130044925,"Medio-baja"
"Independencia",13108,0.847333020988827,"Medio-alta"
"La Cisterna",13109,-10.6921893689062,"Medio-baja"
"La Florida",13110,-12.7781847582822,"Medio-baja"
"La Granja",13111,-2.41238776184673,"Medio-baja"
"La Pintana",13112,4.56193546927159,"Medio-alta"
"La Reina",13113,-20.0003395066887,"Baja"
"Las Condes",13114,-25.9210320381308,"Baja"
"Lo Barnechea",13115,-14.4754395549445,"Baja"
"Lo Espejo",13116,2.1061220566648,"Medio-alta"
"Lo Prado",13117,-1.20172255304901,"Medio-baja"
"Macul",13118,-12.7024894962653,"Medio-baja"
"Maipu",13119,-13.3230473949709,"Medio-baja"
"Nunoa",13120,-24.762581129341,"Baja"
"Pedro Aguirre Cerda",13121,-2.00730248573765,"Medio-baja"
"Penalolen",13122,-7.31690751571637,"Medio-baja"
"Providencia",13123,-29.6818233918387,"Baja"
"Pudahuel",13124,-6.85725009980119,"Medio-baja"
"Quilicura",13125,-7.73450628514275,"Medio-baja"
"Quinta Normal",13126,-5.72030459643079,"Medio-baja"
"Recoleta",13127,0.67014615398193,"Medio-alta"
"Renca",13128,-2.48751195583198,"Medio-baja"
"San Joaquin",13129,-4.70207165890595,"Medio-baja"
"San Miguel",13130,-17.6516550194056,"Baja"
"San Ramon",13131,0.336224551078768,"Medio-alta"
"Vitacura",13132,-24.3522954019201,"Baja"
"Puente Alto",13201,-9.47044064492522,"Medio-baja"
"Pirque",13202,-9.03163069230983,"Medio-baja"
"San Jose de Maipo",13203,-6.11933218058739,"Medio-baja"
"Colina",13301,-4.96368652213053,"Medio-baja"
"Lampa",13302,-5.58612294374746,"Medio-baja"
"Tiltil",13303,-4.18996950528731,"Medio-baja"
"San Bernardo",13401,-4.30747571593702,"Medio-baja"
"Buin",13402,-6.13006701513864,"Medio-baja"
"Calera de Tango",13403,-6.88789847646031,"Medio-baja"
"Paine",13404,-2.49333532750136,"Medio-baja"
"Melipilla",13501,-3.86893097855312,"Medio-baja"
"Alhue",13502,-1.82859165626584,"Medio-baja"
"Curacavi",13503,-2.27117551799682,"Medio-baja"
"Maria Pinto",13504,0.726476741418911,"Medio-alta"
"San Pedro",13505,5.98729913209906,"Medio-alta"
"Talagante",13601,-5.90100337880768,"Medio-baja"
"El Monte",13602,-1.03634141414157,"Medio-baja"
"Isla de Maipo",13603,-2.40209434860136,"Medio-baja"
"Padre Hurtado",13604,-5.14710854715762,"Medio-baja"
"Penaflor",13605,-6.88646152342994,"Medio-baja"
"Valdivia",14101,-10.2769344550736,"Medio-baja"
"Corral",14102,7.43560675521053,"Medio-alta"
"Lanco",14103,6.42562431142127,"Medio-alta"
"Los Lagos",14104,4.5161454330617,"Medio-alta"
"Mafil",14105,5.43473857904306,"Medio-alta"
"Mariquina",14106,9.69960263329276,"Medio-alta"
"Paillaco",14107,6.92708131761901,"Medio-alta"
"Panguipulli",14108,7.47604568020162,"Medio-alta"
"La Union",14201,1.74199238271298,"Medio-alta"
"Futrono",14202,5.3704290831023,"Medio-alta"
"Lago Ranco",14203,12.1757320952955,"Alta"
"Rio Bueno",14204,6.00861962263122,"Medio-alta"
"Arica",15101,1.33747148846918,"Medio-alta"
"Camarones",15102,21.8326374243402,"Alta"
"Putre",15201,2.7773205695588,"Medio-alta"
"General Lagos",15202,34.6225363343324,"Alta"
"Chillan",16101,-7.23794236813739,"Medio-baja"
"Bulnes",16102,2.23071924640274,"Medio-alta"
"Chillan Viejo",16103,-1.82476488571446,"Medio-baja"
"El Carmen",16104,12.1752722567792,"Alta"
"Pemuco",16105,8.13941261499578,"Medio-alta"
"Pinto",16106,3.80635400914967,"Medio-alta"
"Quillon",16107,4.10971334488684,"Medio-alta"
"San Ignacio",16108,10.120446681561,"Alta"
"Yungay",16109,-2.35907560861896,"Medio-baja"
"Quirihue",16201,3.0097335820213,"Medio-alta"
"Cobquecura",16202,10.7885562230705,"Alta"
"Coelemu",16203,3.59571996962551,"Medio-alta"
"Ninhue",16204,12.3604036385525,"Alta"
"Portezuelo",16205,10.4123048478435,"Alta"
"Ranquil",16206,5.70006129640137,"Medio-alta"
"Treguaco",16207,7.29568062299927,"Medio-alta"
"San Carlos",16301,0.681718740426318,"Medio-alta"
"Coihueco",16302,6.22791463526086,"Medio-alta"
"Niquen",16303,8.23052988708195,"Medio-alta"
"San Fabian",16304,3.01841399229155,"Medio-alta"
"San Nicolas",16305,2.23947523686558,"Medio-alta"
